id,age,gender,mothertongue,handedness,vision,vision_impairment,field_of_study,material,stim_duration,isi,block,n_prime,prime1,prime2,prime3,target,prime5,probe,probe_type,probe_response,correct_response,correct,rt
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,099.bmp,092.bmp,ringbinder_13.bmp,103.bmp,ringbinder_16.bmp,lure,l,l,1,1149
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,065.bmp,052.bmp,013.bmp,dumbbell_5.bmp,047.bmp,dumbbell_5.bmp,target,a,a,1,888
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,022.bmp,093.bmp,041.bmp,pokercard_1.bmp,081.bmp,bathsuit_1.bmp,new,l,l,1,855
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,002.bmp,098.bmp,bell_2.bmp,024.bmp,bell_2.bmp,target,l,a,0,1416
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,003.bmp,key_8.bmp,017.bmp,snowglobe_3.bmp,new,l,l,1,766
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,005.bmp,makeupcompact_17.bmp,007.bmp,makeupcompact_17.bmp,target,a,a,1,1404
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,werdilf,Drarner,Riechen,goches,RIECHEN,target,a,a,1,1452
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Straune,rusge,Steinbids,Hamburger,Kügschatten,FLASCHE,new,l,l,1,1149
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,Pulsa,cafumter,Dänemark,Leovitz,ENGLAND,lure,a,l,0,1090
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,krupflau,Gaspedal,Juntes,ROGGEN,new,l,l,1,1519
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Pulsa,heiwel,tobosdelebon,Mobiltelefon,Bonünie,FÜLLER,new,l,l,1,1135
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Simo,Ziser,nelartflugle,Kaiser,neribu,GRAF,lure,l,l,1,1015
42,22,female,german,right,ok,,biologie,words,250,0,2,5,wobgen,prün,Konzelsmeil,Küchenwaage,Sarziwün,RÖTELN,new,l,l,1,871
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,knoppe,Züteln,Lineal,Tonnenstrien,FREUDE,new,l,l,1,833
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Lyrfel,Flamett,Werwärm,Tempel,jäsen,BIRNE,new,l,l,1,631
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,Wubi,Nerxies,Cent,psyfion,PFENNIG,lure,l,l,1,855
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,Kahnpammon,Sergog,Actionfilm,zaskus,PHYSIK,new,l,l,1,638
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,umha,domoponi,Mercedes,Däkin,VOLVO,lure,l,l,1,655
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Keise,Onkel,kangy,ASIEN,new,l,l,1,718
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Hosdunger,Stuttgart,geus,HEXE,new,l,l,1,597
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Nipain,Brahms,zässen,BRAHMS,target,a,a,1,3026
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,veihubt,rapende,Posaune,Hürne,FLÖTE,lure,l,l,1,686
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Kartpammon,satmarin,tafrese,Zwilling,taropfe,WASSERMANN,lure,l,l,1,694
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Külschatten,Konzertsaal,rhysix,ZIRKUS,lure,l,l,1,650
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,schäube,Schwert,Mot,TAG,new,l,l,1,648
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,zokau,Tisch,Zille,TISCH,target,a,a,1,1764
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,stiftgadel,Stickstoff,Streltkadel,WASSERSTOFF,lure,l,l,1,716
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Sumpfgirt,Zajag,geßehs,Walzer,Leige,HASCHISCH,new,l,l,1,1805
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,lettkad,Lechter,Viereck,Blikat,VIERECK,target,l,a,0,1669
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,Gis,gorm,Taxi,lypfel,ZUG,lure,l,l,1,780
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,Sarziwün,Kohs,Lila,verk,LILA,target,a,a,1,858
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,wugerfet,Karamell,Pleiflei,KARAMELL,target,a,a,1,519
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,furse,Zange,Furnel,TENNIS,new,l,l,1,588
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,tadamenz,Zarel,Mücke,Hacal,POLIZIST,new,l,l,1,521
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Katu,Herz,imdel,NIERE,lure,l,l,1,621
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,Kacal,heeräffel,Thunfisch,Lenpedal,LACHS,lure,l,l,1,738
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Oralein,jarz,zallspiegel,Terrier,celluter,SCHÄFERHUND,lure,l,l,1,640
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,isterrielt,klasisafte,Zentimeter,Rusge,ZENTIMETER,target,a,a,1,586
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Helb,wougen,hofi,Elbe,sulmimonchen,LÖFFEL,new,l,l,1,679
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,ree,See,Biet,MEER,lure,l,l,1,675
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Kofi,Streltkadel,Esbo,Bein,auste,KOPF,lure,l,l,1,554
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Gahre,Birke,odien,BIRKE,target,a,a,1,690
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,zostspiegel,Brandenburg,Strahnkadel,BRANDENBURG,target,a,a,1,558
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Yokke,Tulpe,woxra,LILIE,lure,l,l,1,650
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,hee,Tequila,Greitem,GIN,lure,l,l,1,617
42,22,female,german,right,ok,,biologie,words,250,0,2,5,imkem,Parel,imkem,Rouge,Kasel,ROUGE,target,a,a,1,605
42,22,female,german,right,ok,,biologie,words,250,0,2,5,fappnad,Lengkad,beelrowen,Koriander,Äugstoft,KORIANDER,target,a,a,1,569
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,dords,Jacke,Beger,JACKE,target,a,a,1,479
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,junhe,Hagel,Zünemant,ADJEKTIV,new,l,l,1,747
42,22,female,german,right,ok,,biologie,words,250,0,2,4,,ragen,Volpi,Radio,Swiskie,RADIO,target,a,a,1,460
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Gahre,Merkur,owiese,PLUTO,lure,l,l,1,612
42,22,female,german,right,ok,,biologie,words,250,0,2,5,parel,yecht,zweiems,Fähre,Fetes,FÄHRE,target,a,a,1,433
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,imgel,Häkelnadel,Horhormiks,LESEN,new,l,l,1,508
42,22,female,german,right,ok,,biologie,words,250,0,2,5,Kerang,hömig,zeibchen,Eisen,junme,EISEN,target,a,a,1,443
42,22,female,german,right,ok,,biologie,words,250,0,2,3,,,Sadern,Diesel,späfat,DIESEL,target,a,a,1,418
