subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3,VF_pos,VF_neg
82,9,4,ec,6,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,1440.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,9,5,ec,3,negative,L   O   B   F,maske_2.bmp,maske_1.bmp,6838.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,9,6,ec,5,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,8485.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,9,7,ec,4,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,2900.2.bmp,0.078,no,no,yes,no,no,no,no,no,yes,yes,no
82,9,8,ec,8,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,9404.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,9,9,ec,2,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,6555.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,9,10,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,2276.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,9,11,ec,7,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,2208.bmp,0.078,no,no,yes,no,no,no,no,no,yes,yes,no
82,9,12,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9630.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,9,13,ec,5,positive,P   A   N   D,maske_2.bmp,maske_1.bmp,7580.bmp,0.078,no,no,yes,no,no,no,no,no,yes,no,yes
82,9,14,ec,1,positive,P   A   N   S,maske_1.bmp,maske_2.bmp,4606.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,9,15,ec,2,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,2058.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
