subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals_for_calc; reversals_total; stepsize; pas_rating;VF_pos;VF_neg
52;3;19;2.5;negative;F   R   O   B;maske_2.bmp;maske_1.bmp;Car accident 2.jpg;0.020999999999999963;1;1;18;34;0.001;2;no;yes
52;3;20;2.5;positive;V   A   P   S;maske_1.bmp;maske_2.bmp;Dessert 8.jpg;0.021999999999999964;1;1;18;34;0.001;1;yes;no
52;3;21;5.0;negative;G   N   U   Z;maske_1.bmp;maske_2.bmp;Frustrated pose 5.jpg;0.07899999999999996;1;1;18;28;0.001;2;no;yes
52;3;22;2.5;positive;S   W   A   P;maske_1.bmp;maske_2.bmp;Present 2.jpg;0.022999999999999965;1;1;18;34;0.001;1;yes;no
52;3;23;5.0;positive;K   L   E   H;maske_2.bmp;maske_1.bmp;Coffee 1.jpg;0.07999999999999996;1;-1;19;29;0.001;6;yes;no
52;3;24;5.0;negative;Z   U   N   G;maske_2.bmp;maske_1.bmp;Flood 1.jpg;0.07899999999999996;-1;-1;19;29;0.001;6;no;yes
52;3;25;5.0;negative;T   U   G   Z;maske_2.bmp;maske_1.bmp;Garbage dump 8.jpg;0.07799999999999996;-1;-1;19;29;0.001;6;no;yes
52;3;26;5.0;positive;K   E   H   M;maske_1.bmp;maske_2.bmp;Mother 5.jpg;0.07699999999999996;-1;-1;19;29;0.001;5;yes;no
52;3;27;2.5;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Flowers 4.jpg;0.023999999999999966;1;1;18;34;0.001;1;yes;no
52;3;28;2.5;negative;J   O   R   B;maske_1.bmp;maske_2.bmp;Animal carcass 3.jpg;0.024999999999999967;1;1;18;34;0.001;1;no;yes
52;3;29;5.0;negative;G   U   T   Z;maske_1.bmp;maske_2.bmp;Animal carcass 1.jpg;0.07699999999999996;-1;1;20;30;0.001;1;no;yes
52;3;30;2.5;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Cat 4.jpg;0.025999999999999968;1;1;18;34;0.001;1;yes;no
52;3;31;2.5;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Garbage dump 1.jpg;0.02699999999999997;1;1;18;34;0.001;1;no;yes
52;3;32;2.5;negative;R   O   B   F;maske_2.bmp;maske_1.bmp;Dog 31.jpg;0.02799999999999997;1;1;18;34;0.001;1;no;yes
