ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp	TrialNr	Interval
72	0	0	neu_l_68.wav	neu_r_18.wav	2015-06-18_10.30.24.350000	269	0
72	0	1	neu_l_23.wav	r_tol_3.wav	2015-06-18_10.30.24.350000	270	1
72	1	0	neu_l_77.wav	pos_r_29.wav	2015-06-18_10.30.24.350000	271	0
72	0	0	neu_l_66.wav	neu_r_50.wav	2015-06-18_10.30.24.350000	272	0
72	0	1	neu_l_9.wav	r_tol_5.wav	2015-06-18_10.30.24.350000	273	1
72	1	0	neu_l_74.wav	neg_r_6.wav	2015-06-18_10.30.24.350000	274	0
72	0	0	neu_l_52.wav	neu_r_1.wav	2015-06-18_10.30.24.350000	275	0
72	0	1	neu_l_43.wav	r_tol_5.wav	2015-06-18_10.30.24.350000	276	1
72	1	0	neu_l_10.wav	neg_r_69.wav	2015-06-18_10.30.24.350000	277	0
72	0	0	neu_l_53.wav	neu_r_55.wav	2015-06-18_10.30.24.350000	278	0
72	0	1	neu_l_21.wav	r_tol_12.wav	2015-06-18_10.30.24.350000	279	1
72	1	0	neu_l_10.wav	pos_r_22.wav	2015-06-18_10.30.24.350000	280	0
72	0	0	neu_l_43.wav	neu_r_1.wav	2015-06-18_10.30.24.350000	281	0
72	0	0	neu_l_14.wav	neg_r_51.wav	2015-06-18_10.30.24.350000	282	1
72	0	0	neu_l_17.wav	neu_r_78.wav	2015-06-18_10.30.24.350000	283	0
72	0	1	neu_l_19.wav	r_tol_20.wav	2015-06-18_10.30.24.350000	284	1
72	1	0	neu_l_44.wav	pos_r_27.wav	2015-06-18_10.30.24.350000	285	0
72	0	0	neu_l_71.wav	neu_r_1.wav	2015-06-18_10.30.24.350000	286	0
72	0	1	neu_l_45.wav	r_tol_11.wav	2015-06-18_10.30.24.350000	287	1
72	1	0	neu_l_11.wav	neg_r_27.wav	2015-06-18_10.30.24.350000	288	0
72	0	0	neu_l_51.wav	neu_r_47.wav	2015-06-18_10.30.24.350000	289	0
72	0	1	neu_l_21.wav	r_tol_12.wav	2015-06-18_10.30.24.350000	290	1
72	1	0	neu_l_12.wav	pos_r_12.wav	2015-06-18_10.30.24.350000	291	0
72	0	0	neu_l_6.wav	neu_r_2.wav	2015-06-18_10.30.24.350000	292	0
72	0	1	l_tol_7.wav	neu_r_20.wav	2015-06-18_10.30.24.350000	293	1
72	0	0	l_lup_8.wav	pos_r_38.wav	2015-06-18_10.30.24.350000	294	0
72	0	0	l_nif_11.wav	neu_r_2.wav	2015-06-18_10.30.24.350000	295	0
72	0	1	l_tol_14.wav	neu_r_40.wav	2015-06-18_10.30.24.350000	296	1
72	0	0	l_lup_10.wav	neg_r_17.wav	2015-06-18_10.30.24.350000	297	0
72	0	0	l_nif_9.wav	neu_r_3.wav	2015-06-18_10.30.24.350000	298	0
