trialnr,blocknr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1  
74,3,cs21.bmp,pos,100,2550.jpg,1000,maske_3.bmp,500,maske_10.bmp,900,cs22.bmp,cs28.bmp,cs2.bmp,cs21.bmp,cs4.bmp,cs14.bmp
14,3,cs10.bmp,pos,30,1750.JPG,1000,maske_8.bmp,500,maske_11.bmp,970,cs22.bmp,cs10.bmp,cs5.bmp,cs4.bmp,cs26.bmp,cs20.bmp
182,3,cs19.bmp,neg,30,9340.JPG,1000,maske_11.bmp,500,maske_4.bmp,970,cs13.bmp,cs19.bmp,cs17.bmp,cs27.bmp,cs30.bmp,cs25.bmp
38,3,cs2.bmp,pos,30,1460.JPG,1000,maske_12.bmp,500,maske_11.bmp,970,cs5.bmp,cs26.bmp,cs2.bmp,cs20.bmp,cs14.bmp,cs15.bmp
86,3,cs14.bmp,pos,100,1920.JPG,1000,maske_8.bmp,500,maske_12.bmp,900,cs4.bmp,cs26.bmp,cs10.bmp,cs28.bmp,cs23.bmp,cs14.bmp
62,3,cs15.bmp,pos,30,1999.jpg,1000,maske_3.bmp,500,maske_2.bmp,970,cs26.bmp,cs22.bmp,cs14.bmp,cs28.bmp,cs5.bmp,cs15.bmp
146,3,cs11.bmp,neg,30,9520.JPG,1000,maske_6.bmp,500,maske_10.bmp,970,cs13.bmp,cs17.bmp,cs11.bmp,cs27.bmp,cs18.bmp,cs30.bmp
272,3,cs9.bmp,neu,100,4631.JPG,1000,maske_4.bmp,500,maske_6.bmp,900,7090.jpg,1121.jpg,5455.jpg,4631.JPG,7211.jpg,7080.jpg
20,3,cs26.bmp,pos,30,2550.jpg,1000,maske_4.bmp,500,maske_10.bmp,970,cs23.bmp,cs21.bmp,cs26.bmp,cs14.bmp,cs28.bmp,cs22.bmp
266,3,cs9.bmp,neu,100,1313.jpg,1000,maske_2.bmp,500,maske_11.bmp,900,7187.jpg,7233.jpg,1313.jpg,4631.JPG,5740.jpg,7640.jpg
56,3,cs20.bmp,pos,30,2345.jpg,1000,maske_4.bmp,500,maske_6.bmp,970,cs21.bmp,cs26.bmp,cs22.bmp,cs23.bmp,cs20.bmp,cs28.bmp
128,3,cs7.bmp,neg,30,9000.jpg,1000,maske_4.bmp,500,maske_6.bmp,970,cs6.bmp,cs13.bmp,cs27.bmp,cs7.bmp,cs25.bmp,cs12.bmp
326,3,cs16.bmp,neu,900,1121.jpg,1000,maske_7.bmp,500,maske_6.bmp,100,5395.jpg,4631.JPG,7640.jpg,1121.jpg,7490.jpg,7004.jpg
