subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating;VF_pos;VF_neg
7;3;14;pas_5;positive;P   S   A   V;maske_2.bmp;maske_1.bmp;Alcohol 5.jpg;0.1145;-1;1;34;0.0005;3;yes;no
7;3;15;pas_5;positive;V   A   P   S;maske_1.bmp;maske_2.bmp;Baby 8.jpg;0.115;1;-1;35;0.0005;6;yes;no
7;3;16;pas_3;positive;Z   U   N   T;maske_2.bmp;maske_1.bmp;Elephant 1.jpg;0.095;1;1;28;0.0005;3;yes;no
7;3;17;pas_3;positive;T   U   N   G;maske_2.bmp;maske_1.bmp;Gazing 6.jpg;0.095;1;-1;29;0.0005;5;yes;no
7;3;18;pas_3;positive;G   N   U   Z;maske_2.bmp;maske_1.bmp;Parade 1.jpg;0.0945;-1;-1;29;0.0005;5;yes;no
7;3;19;pas_5;negative;R   O   B   F;maske_1.bmp;maske_2.bmp;Sad face 1.jpg;0.1145;-1;-1;35;0.0005;5;no;yes
7;3;20;pas_3;negative;K   L   E   M;maske_2.bmp;maske_1.bmp;Sad pose 1.jpg;0.094;-1;-1;29;0.0005;4;no;yes
7;3;21;pas_3;positive;N   U   G   Z;maske_1.bmp;maske_2.bmp;Beach 4.jpg;0.0935;-1;-1;29;0.0005;3;yes;no
7;3;22;pas_3;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Prison 2.jpg;0.0935;-1;-1;29;0.0005;3;no;yes
7;3;23;pas_5;negative;J   O   B   F;maske_1.bmp;maske_2.bmp;Sad face 9.jpg;0.1145;-1;-1;35;0.0005;6;no;yes
7;3;24;pas_3;negative;K   E   L   M;maske_2.bmp;maske_1.bmp;Dog 31.jpg;0.0935;-1;-1;29;0.0005;3;no;yes
7;3;25;pas_5;positive;S   A   P   V;maske_1.bmp;maske_2.bmp;Dessert 8.jpg;0.114;-1;-1;35;0.0005;6;yes;no
7;3;26;pas_5;negative;F   O   R   B;maske_2.bmp;maske_1.bmp;Destruction 2.jpg;0.1135;-1;-1;35;0.0005;6;no;yes
7;3;27;pas_3;negative;M   E   H   K;maske_1.bmp;maske_2.bmp;Fire 7.jpg;0.0935;-1;-1;29;0.0005;5;no;yes
7;3;28;pas_3;positive;Z   U   N   G;maske_2.bmp;maske_1.bmp;Father 1.jpg;0.093;-1;-1;29;0.0005;4;yes;no
7;3;29;pas_5;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Zebra 1.jpg;0.113;-1;-1;35;0.0005;6;yes;no
7;3;30;pas_5;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Guitar 1.jpg;0.1125;-1;-1;35;0.0005;6;yes;no
7;3;31;pas_3;positive;G   U   N   T;maske_2.bmp;maske_1.bmp;School 2.jpg;0.0925;-1;1;30;0.0005;2;yes;no
7;3;32;pas_3;negative;H   E   L   K;maske_1.bmp;maske_2.bmp;Garbage dump 8.jpg;0.093;1;1;30;0.0005;2;no;yes
7;3;33;pas_3;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Nude couple 7.jpg;0.0935;1;1;30;0.0005;2;yes;no
7;3;34;pas_5;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Beach 6.jpg;0.112;-1;-1;35;0.0005;5;yes;no
7;3;35;pas_3;negative;H   E   L   K;maske_2.bmp;maske_1.bmp;Depressed pose 1.jpg;0.094;1;-1;31;0.0005;4;no;yes
7;3;36;pas_5;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Cockroach 1.jpg;0.112;-1;1;36;0.0005;2;no;yes
7;3;37;pas_5;positive;W   A   P   S;maske_1.bmp;maske_2.bmp;Flowers 4.jpg;0.1125;1;-1;37;0.0005;6;yes;no
7;3;38;pas_5;positive;V   A   S   P;maske_1.bmp;maske_2.bmp;Happy pose 2.jpg;0.112;-1;-1;37;0.0005;6;yes;no
7;3;39;pas_5;negative;J   O   R   F;maske_1.bmp;maske_2.bmp;Dog 23.jpg;0.1115;-1;1;38;0.0005;4;no;yes
7;3;40;pas_3;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Garbage dump 6.jpg;0.0935;-1;-1;31;0.0005;3;no;yes
7;3;41;pas_5;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Gun 5.jpg;0.112;1;1;38;0.0005;2;no;yes
7;3;42;pas_3;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;Baby 6.jpg;0.0935;-1;1;32;0.0005;1;yes;no
7;3;43;pas_5;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Sunflower 1.jpg;0.1125;1;1;38;0.0005;4;yes;no
