subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
2,7,5,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9430.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,7,6,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,8540.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,7,7,ec,1,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,2160.bmp,0.081,no,no,yes,no,no,no,no,no,no
2,7,8,ec,5,negative,J   O   L   F,maske_1.bmp,maske_2.bmp,9920.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,9,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,2050.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,7,10,ec,6,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,9520.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,11,ec,3,positive,S   P   A   D,maske_2.bmp,maske_1.bmp,5594.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,12,ec,4,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9280.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,13,ec,2,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,4622.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,7,14,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9180.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,15,ec,7,positive,W   A   D   S,maske_2.bmp,maske_1.bmp,7230.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,16,ec,4,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,2208.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,17,ec,1,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,9432.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,18,ec,8,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,8496.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,19,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,7380.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,7,20,ec,7,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,6570.1.bmp,0.081,no,no,yes,no,no,no,no,no,no
2,8,1,ec,3,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,9560.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,8,2,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,1650.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,8,3,ec,4,positive,N   A   P   S,maske_2.bmp,maske_1.bmp,2150.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,8,4,ec,5,negative,J   O   L   F,maske_2.bmp,maske_1.bmp,9400.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,8,5,ec,1,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,9006.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,8,6,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,5830.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,8,7,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,3220.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,8,8,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2071.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,8,9,ec,7,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,9182.bmp,0.083,no,no,no,no,yes,no,no,no,no
2,8,10,ec,8,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,9342.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,8,11,ec,6,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,9830.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,8,12,ec,7,positive,W   A   D   S,maske_1.bmp,maske_2.bmp,5460.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,8,13,ec,4,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,2375.1.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,8,14,ec,2,negative,F   O   R   B,maske_1.bmp,maske_2.bmp,9500.bmp,0.083,no,no,yes,no,no,no,no,no,no
2,8,15,ec,1,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,1999.bmp,0.083,yes,no,no,no,no,no,no,no,no
2,8,16,ec,6,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,2791.bmp,0.083,no,no,no,yes,no,no,no,no,no
2,8,17,ec,3,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,2340.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,8,18,ec,5,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,8420.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,8,19,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,6311.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,8,20,ec,2,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,8330.bmp,0.083,no,yes,no,no,no,no,no,no,no
2,9,1,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,2660.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,9,2,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,4220.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,9,3,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9220.bmp,0.5,no,no,no,no,no,yes,no,no,no
