subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
50,4,19,ec,2,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,1463.bmp,0.098,D   W   A   P,N   A   P   S,L   O   B   F,F   R   O   L,yes,no,no,no,
50,4,20,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,3300.bmp,0.5,G   M   U   X,T   E   H   V,K   I   G   M,H   Y   V   Z,no,yes,no,no,
50,5,1,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9432.bmp,0.5,H   Y   V   Z,K   I   G   M,G   M   U   X,T   E   H   V,yes,no,no,no,
50,5,2,ec,1,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,2070.bmp,0.098,S   N   A   W,F   R   O   B,J   O   R   F,S   W   A   D,yes,no,no,no,
50,5,3,ec,2,negative,L   O   B   F,maske_1.bmp,maske_2.bmp,9102.bmp,0.098,F   R   O   L,W   A   P   S,S   W   A   P,L   O   B   F,yes,no,no,no,
50,5,4,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,1440.bmp,0.5,G   M   U   X,H   Y   V   Z,K   I   G   M,T   E   H   V,yes,no,no,no,
50,5,5,ec,7,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,2040.bmp,0.098,S   W   A   P,L   O   B   F,B   R   O   F,N   A   P   S,no,no,no,yes,
50,5,6,ec,8,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,5460.bmp,0.098,B   O   L   F,N   A   P   S,W   A   P   S,J   O   R   F,no,yes,no,no,
50,5,7,ec,4,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,5594.bmp,0.098,S   P   A   W,B   O   L   F,S   N   A   D,F   R   O   B,no,no,yes,no,
50,5,8,ec,1,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,9006.bmp,0.098,B   L   O   F,S   W   A   D,B   R   O   F,S   P   A   W,no,no,yes,no,
50,5,9,ec,3,negative,B   O   R   F,maske_2.bmp,maske_1.bmp,6242.bmp,0.098,D   W   A   P,F   R   O   B,S   N   A   D,B   O   R   F,no,yes,no,no,
50,5,10,ec,5,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,7350.bmp,0.098,L   O   B   F,W   A   P   S,F   R   O   L,S   W   A   D,no,no,no,yes,
50,5,11,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,2080.bmp,0.5,H   Y   V   Z,G   M   U   X,T   E   H   V,K   I   G   M,no,no,no,yes,
50,5,12,ec,8,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,6555.bmp,0.098,S   N   A   D,D   W   A   P,J   O   R   F,B   O   R   F,no,no,yes,no,
50,5,13,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9041.bmp,0.5,T   E   H   V,G   M   U   X,H   Y   V   Z,K   I   G   M,yes,no,no,no,
50,5,14,ec,6,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,6311.bmp,0.098,N   A   P   S,B   O   L   F,S   W   A   D,B   L   O   F,no,yes,no,no,
50,5,15,ec,2,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,2311.bmp,0.098,B   O   R   F,S   N   A   D,B   L   O   F,D   W   A   P,no,no,no,yes,
50,5,16,ec,3,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,2208.bmp,0.098,B   O   R   F,B   L   O   F,S   N   A   W,S   W   A   P,no,no,no,yes,
50,5,17,ec,4,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,2053.bmp,0.098,J   O   R   F,F   R   O   B,S   P   A   W,W   A   P   S,no,yes,no,no,
50,5,18,ec,7,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,3550.bmp,0.098,B   R   O   F,S   W   A   P,S   N   A   W,B   O   L   F,yes,no,no,no,
50,5,19,ec,5,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9520.bmp,0.098,N   A   P   S,S   N   A   W,L   O   B   F,F   R   O   L,no,no,no,yes,
50,5,20,ec,6,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,5629.bmp,0.098,B   R   O   F,F   R   O   L,S   P   A   W,D   W   A   P,no,no,yes,no,
